from_machine,to_machine,with_handling_sec
M15,M7,101.538
M15,M8,112.538
M15,M9,123.538
M15,M10,134.538
M15,M11,168.53
M15,M12,179.53
M15,M13,150.93
M15,M14,161.93
M15,M16,49.592
M15,M17,60.592
M15,M18,71.592
M15,M19,82.592
M15,M20,93.592
M15,M21,127.584
M15,M22,138.584
M15,M23,109.984
M15,M24,120.984
M15,M25,70.384
M15,M26,99.977
M15,M27,110.977
M15,M28,121.977
M15,M29,132.977
M15,M30,143.977
M15,M31,145.184
M15,M32,156.184
M15,M33,160.369
M15,M34,171.369
M15,M35,120.769
M15,M36,150.361
M15,M37,161.361
M15,M38,172.361
M15,M39,183.361
M15,M40,183.577
M15,M41,162.784
M15,M42,173.784
M15,M43,184.784
M15,M44,195.784
M15,M45,171.153
M15,M46,200.746
M15,M47,211.746
M15,M48,222.746
M15,M49,233.746
M15,M50,244.746
M15,M51,214.938
M15,M52,225.938
M15,M53,236.938
M15,M54,247.938
M15,M55,258.938
M15,M56,288.53
M15,M57,286.33
M15,M58,297.33
M15,M59,308.33
M15,M60,253.33
M15,M61,232.538
M15,M62,243.538
M15,M63,254.538
M15,M64,265.538
M15,M65,276.538
M15,M66,306.13
M15,M67,303.93
M15,M68,314.93
M15,M69,325.93
M15,M70,270.93
M15,M71,250.138
M15,M72,261.138
M15,M73,272.138
M15,M74,283.138
M15,M75,294.138
M15,M76,322.53
M15,M77,321.53
M15,M78,332.53
M15,M79,343.53
M15,M80,288.53
M15,M81,267.738
M15,M82,278.738
M15,M83,289.738
M15,M84,300.738
M15,M85,311.738
M15,M86,341.33
M15,M87,339.13
M15,M88,350.13
M15,M89,361.13
M15,M90,306.13
M15,M91,285.338
M15,M92,296.338
M15,M93,307.338
M15,M94,318.338
M15,M95,329.338
M15,M96,287.33
M15,M97,298.33
M15,M98,309.33
M15,M99,320.33
M15,M100,331.33
M16,M1,307.899
M16,M2,318.899
M16,M3,329.899
M16,M4,340.899
M16,M5,351.899
M16,M6,196.914
M16,M7,207.914
M16,M8,218.914
M16,M9,229.914
M16,M10,240.914
M16,M11,274.907
M16,M12,285.907
M16,M13,257.307
M16,M14,268.307
M16,M15,279.307
M16,M17,31.0
M16,M18,42.0
M16,M19,53.0
M16,M20,64.0
M16,M21,97.992
M16,M22,108.992
M16,M23,80.392
M16,M24,91.392
M16,M25,40.792
M16,M26,70.384
M16,M27,81.384
M16,M28,92.384
M16,M29,103.384
M16,M30,114.384
M16,M31,115.592
M16,M32,126.592
M16,M33,130.777
M16,M34,141.777
M16,M35,91.177
M16,M36,120.769
M16,M37,131.769
M16,M38,142.769
M16,M39,153.769
M16,M40,153.984
M16,M41,133.192
M16,M42,144.192
M16,M43,155.192
M16,M44,166.192
M16,M45,141.561
M16,M46,171.153
M16,M47,182.153
M16,M48,193.153
M16,M49,204.153
M16,M50,215.153
M16,M51,185.345
M16,M52,196.345
M16,M53,207.345
M16,M54,218.345
M16,M55,229.345
M16,M56,258.938
M16,M57,256.738
M16,M58,267.738
M16,M59,278.738
M16,M60,223.738
M16,M61,202.945
M16,M62,213.945
M16,M63,224.945
M16,M64,235.945
M16,M65,246.945
M16,M66,276.538
M16,M67,274.338
M16,M68,285.338
M16,M69,296.338
M16,M70,241.338
M16,M71,220.545
M16,M72,231.545
M16,M73,242.545
M16,M74,253.545
M16,M75,264.545
M16,M76,294.138
M16,M77,291.938
M16,M78,302.938
M16,M79,313.938
M16,M80,258.938
M16,M81,238.145
M16,M82,249.145
M16,M83,260.145
M16,M84,271.145
M16,M85,282.145
M16,M86,311.738
M16,M87,309.538
M16,M88,320.538
M16,M89,331.538
M16,M90,276.538
M16,M91,255.745
M16,M92,266.745
M16,M93,277.745
M16,M94,288.745
M16,M95,299.745
M16,M96,329.338
M16,M97,340.338
M16,M98,351.338
M16,M99,362.338
M16,M100,373.338
M17,M1,296.899
M17,M2,307.899
M17,M3,318.899
M17,M4,329.899
M17,M5,340.899
M17,M6,247.514
M17,M7,258.514
M17,M8,269.514
M17,M9,280.514
M17,M10,291.514
M17,M11,299.205
M17,M12,310.205
M17,M13,307.907
M17,M14,318.907
M17,M15,329.907
M17,M16,293.499
M17,M18,31.0
M17,M19,42.0
M17,M20,53.0
M17,M21,86.992
M17,M22,97.992
M17,M23,69.392
M17,M24,80.392
M17,M25,91.392
M17,M26,120.984
M17,M27,131.984
M17,M28,142.984
M17,M29,153.984
M17,M30,125.384
M17,M31,104.592
M17,M32,115.592
M17,M33,126.592
M17,M34,137.592
M17,M35,141.777
M17,M36,171.369
M17,M37,175.984
M17,M38,186.984
M17,M39,197.984
M17,M40,142.984
M17,M41,122.192
M17,M42,133.192
M17,M43,144.192
M17,M44,155.192
M17,M45,166.192
M17,M46,195.784
M17,M47,206.784
M17,M48,217.784
M17,M49,228.784
M17,M50,239.784
M17,M51,174.345
M17,M52,185.345
M17,M53,196.345
M17,M54,207.345
M17,M55,218.345
M17,M56,247.938
M17,M57,245.738
M17,M58,256.738
M17,M59,267.738
M17,M60,212.738
M17,M61,191.945
M17,M62,202.945
M17,M63,213.945
M17,M64,224.945
M17,M65,235.945
M17,M66,265.538
M17,M67,263.338
M17,M68,274.338
M17,M69,285.338
M17,M70,230.338
M17,M71,209.545
M17,M72,220.545
M17,M73,231.545
M17,M74,242.545
M17,M75,253.545
M17,M76,283.138
M17,M77,280.938
M17,M78,291.938
M17,M79,302.938
M17,M80,247.938
M17,M81,227.145
M17,M82,238.145
M17,M83,249.145
M17,M84,260.145
M17,M85,271.145
M17,M86,300.738
M17,M87,298.538
M17,M88,309.538
M17,M89,320.538
M17,M90,265.538
M17,M91,244.745
M17,M92,255.745
M17,M93,266.745
M17,M94,277.745
M17,M95,288.745
M17,M96,318.338
M17,M97,329.338
M17,M98,340.338
M17,M99,351.338
M17,M100,362.338
M18,M1,285.899
M18,M2,296.899
M18,M3,307.899
M18,M4,318.899
M18,M5,329.899
M18,M6,236.514
M18,M7,247.514
M18,M8,258.514
M18,M9,269.514
M18,M10,280.514
M18,M11,288.205
M18,M12,299.205
M18,M13,296.907
M18,M14,307.907
M18,M15,318.907
M18,M16,282.499
M18,M17,90.184
M18,M19,31.0
M18,M20,42.0
M18,M21,75.992
M18,M22,86.992
M18,M23,58.392
M18,M24,69.392
M18,M25,80.392
M18,M26,109.984
M18,M27,120.984
M18,M28,131.984
M18,M29,142.984
M18,M30,114.384
M18,M31,93.592
M18,M32,104.592
M18,M33,115.592
M18,M34,126.592
M18,M35,130.777
M18,M36,160.369
M18,M37,164.984
M18,M38,175.984
M18,M39,186.984
M18,M40,131.984
M18,M41,111.192
M18,M42,122.192
M18,M43,133.192
M18,M44,144.192
M18,M45,155.192
M18,M46,184.784
M18,M47,195.784
M18,M48,206.784
M18,M49,217.784
M18,M50,228.784
M18,M51,163.345
M18,M52,174.345
M18,M53,185.345
M18,M54,196.345
M18,M55,207.345
M18,M56,236.938
M18,M57,234.738
M18,M58,245.738
M18,M59,256.738
M18,M60,201.738
M18,M61,180.945
M18,M62,191.945
M18,M63,202.945
M18,M64,213.945
M18,M65,224.945
M18,M66,254.538
M18,M67,252.338
M18,M68,263.338
M18,M69,274.338
M18,M70,219.338
M18,M71,198.545
M18,M72,209.545
M18,M73,220.545
M18,M74,231.545
M18,M75,242.545
M18,M76,272.138
M18,M77,269.938
M18,M78,280.938
M18,M79,291.938
M18,M80,236.938
M18,M81,216.145
M18,M82,227.145
M18,M83,238.145
M18,M84,249.145
M18,M85,260.145
M18,M86,289.738
M18,M87,287.538
M18,M88,298.538
M18,M89,309.538
M18,M90,254.538
M18,M91,233.745
M18,M92,244.745
M18,M93,255.745
M18,M94,266.745
M18,M95,277.745
M18,M96,307.338
M18,M97,318.338
M18,M98,329.338
M18,M99,340.338
M18,M100,351.338
M19,M1,274.899
M19,M2,285.899
M19,M3,296.899
M19,M4,307.899
M19,M5,318.899
M19,M6,232.33
M19,M7,243.33
M19,M8,254.33
M19,M9,265.33
M19,M10,276.33
M19,M11,277.205
M19,M12,288.205
M19,M13,292.722
M19,M14,303.722
M19,M15,314.722
M19,M16,278.314
M19,M17,118.784
M19,M18,129.784
M19,M20,31.0
M19,M21,64.992
M19,M22,75.992
M19,M23,86.992
M19,M24,97.992
M19,M25,108.992
M19,M26,138.584
M19,M27,136.384
M19,M28,147.384
M19,M29,158.384
M19,M30,103.384
M19,M31,82.592
M19,M32,93.592
M19,M33,104.592
M19,M34,115.592
M19,M35,126.592
M19,M36,156.184
M19,M37,153.984
M19,M38,164.984
M19,M39,175.984
M19,M40,120.984
M19,M41,100.192
M19,M42,111.192
M19,M43,122.192
M19,M44,133.192
M19,M45,144.192
M19,M46,173.784
M19,M47,184.784
M19,M48,195.784
M19,M49,206.784
M19,M50,217.784
M19,M51,152.345
M19,M52,163.345
M19,M53,174.345
M19,M54,185.345
M19,M55,196.345
M19,M56,225.938
M19,M57,223.738
M19,M58,234.738
M19,M59,245.738
M19,M60,190.738
M19,M61,169.945
M19,M62,180.945
M19,M63,191.945
M19,M64,202.945
M19,M65,213.945
M19,M66,243.538
M19,M67,241.338
M19,M68,252.338
M19,M69,263.338
M19,M70,208.338
M19,M71,187.545
M19,M72,198.545
M19,M73,209.545
M19,M74,220.545
M19,M75,231.545
M19,M76,261.138
M19,M77,258.938
M19,M78,269.938
M19,M79,280.938
M19,M80,225.938
M19,M81,205.145
M19,M82,216.145
M19,M83,227.145
M19,M84,238.145
M19,M85,249.145
M19,M86,278.738
M19,M87,276.538
M19,M88,287.538
M19,M89,298.538
M19,M90,243.538
M19,M91,222.745
M19,M92,233.745
M19,M93,244.745
M19,M94,255.745
M19,M95,266.745
M19,M96,296.338
M19,M97,307.338
M19,M98,318.338
M19,M99,329.338
M19,M100,340.338
M20,M1,263.899
M20,M2,274.899
M20,M3,285.899
M20,M4,296.899
M20,M5,307.899
M20,M6,221.33
M20,M7,232.33
M20,M8,243.33
M20,M9,254.33
M20,M10,265.33
M20,M11,266.205
M20,M12,277.205
M20,M13,281.722
M20,M14,292.722
M20,M15,303.722
M20,M16,267.314
M20,M17,107.784
M20,M18,118.784
M20,M19,129.784
M20,M21,53.992
M20,M22,64.992
M20,M23,75.992
M20,M24,86.992
M20,M25,97.992
M20,M26,127.584
M20,M27,125.384
M20,M28,136.384
M20,M29,147.384
M20,M30,92.384
M20,M31,71.592
M20,M32,82.592
M20,M33,93.592
M20,M34,104.592
M20,M35,115.592
M20,M36,145.184
M20,M37,142.984
M20,M38,153.984
M20,M39,164.984
M20,M40,109.984
M20,M41,89.192
M20,M42,100.192
M20,M43,111.192
M20,M44,122.192
M20,M45,133.192
M20,M46,162.784
M20,M47,173.784
M20,M48,184.784
M20,M49,195.784
M20,M50,206.784
M20,M51,141.345
M20,M52,152.345
M20,M53,163.345
M20,M54,174.345
M20,M55,185.345
M20,M56,214.938
M20,M57,212.738
M20,M58,223.738
M20,M59,234.738
M20,M60,179.738
M20,M61,158.945
M20,M62,169.945
M20,M63,180.945
M20,M64,191.945
M20,M65,202.945
M20,M66,232.538
M20,M67,230.338
M20,M68,241.338
M20,M69,252.338
M20,M70,197.338
M20,M71,176.545
M20,M72,187.545
M20,M73,198.545
M20,M74,209.545
M20,M75,220.545
M20,M76,250.138
M20,M77,247.938
M20,M78,258.938
M20,M79,269.938
M20,M80,214.938
M20,M81,194.145
M20,M82,205.145
M20,M83,216.145
M20,M84,227.145
M20,M85,238.145
M20,M86,267.738
M20,M87,265.538
M20,M88,276.538
M20,M89,287.538
M20,M90,232.538
M20,M91,211.745
M20,M92,222.745
M20,M93,233.745
M20,M94,244.745
M20,M95,255.745
M20,M96,285.338
M20,M97,296.338
M20,M98,307.338
M20,M99,318.338
M20,M100,329.338
M21,M1,284.691
M21,M2,295.691
M21,M3,306.691
M21,M4,317.691
M21,M5,328.691
M21,M6,220.122
M21,M7,231.122
M21,M8,242.122
M21,M9,253.122
M21,M10,264.122
M21,M11,286.997
M21,M12,297.997
M21,M13,280.514
M21,M14,291.514
M21,M15,302.514
M21,M16,266.107
M21,M17,73.792
M21,M18,84.792
M21,M19,95.792
M21,M20,40.792
M21,M22,31.0
M21,M23,42.0
M21,M24,53.0
M21,M25,64.0
M21,M26,93.592
M21,M27,104.592
M21,M28,115.592
M21,M29,126.592
M21,M30,113.177
M21,M31,92.384
M21,M32,103.384
M21,M33,114.384
M21,M34,125.384
M21,M35,114.384
M21,M36,143.977
M21,M37,154.977
M21,M38,165.977
M21,M39,176.977
M21,M40,130.777
M21,M41,109.984
M21,M42,120.984
M21,M43,131.984
M21,M44,142.984
M21,M45,153.984
M21,M46,183.577
M21,M47,194.577
M21,M48,205.577
M21,M49,216.577
M21,M50,227.577
M21,M51,162.138
M21,M52,173.138
M21,M53,184.138
M21,M54,195.138
M21,M55,206.138
M21,M56,235.73
M21,M57,233.53
M21,M58,244.53
M21,M59,255.53
M21,M60,200.53
M21,M61,179.738
M21,M62,190.738
M21,M63,201.738
M21,M64,212.738
M21,M65,223.738
M21,M66,253.33
M21,M67,251.13
M21,M68,262.13
M21,M69,273.13
M21,M70,218.13
M21,M71,197.338
M21,M72,208.338
M21,M73,219.338
M21,M74,230.338
M21,M75,241.338
M21,M76,270.93
M21,M77,268.73
M21,M78,279.73
M21,M79,290.73
M21,M80,235.73
M21,M81,214.938
M21,M82,225.938
M21,M83,236.938
M21,M84,247.938
M21,M85,258.938
M21,M86,288.53
M21,M87,286.33
M21,M88,297.33
M21,M89,308.33
M21,M90,253.33
M21,M91,232.538
M21,M92,243.538
M21,M93,254.538
M21,M94,265.538
M21,M95,276.538
M21,M96,306.13
M21,M97,317.13
M21,M98,328.13
M21,M99,339.13
M21,M100,350.13
M22,M1,320.875
M22,M2,331.875
M22,M3,342.875
M22,M4,353.875
M22,M5,364.875
M22,M6,209.122
M22,M7,220.122
M22,M8,231.122
M22,M9,242.122
M22,M10,253.122
M22,M11,287.114
M22,M12,298.114
M22,M13,269.514
M22,M14,280.514
M22,M15,291.514
M22,M16,255.107
M22,M17,62.792
M22,M18,73.792
M22,M19,84.792
M22,M20,95.792
M22,M21,129.784
M22,M23,31.0
M22,M24,42.0
M22,M25,53.0
M22,M26,82.592
M22,M27,93.592
M22,M28,104.592
M22,M29,115.592
M22,M30,126.592
M22,M31,147.384
M22,M32,158.384
M22,M33,142.984
M22,M34,153.984
M22,M35,103.384
M22,M36,132.977
M22,M37,143.977
M22,M38,154.977
M22,M39,165.977
M22,M40,176.977
M22,M41,164.984
M22,M42,175.984
M22,M43,186.984
M22,M44,197.984
M22,M45,153.769
M22,M46,183.361
M22,M47,194.361
M22,M48,205.361
M22,M49,216.361
M22,M50,227.361
M22,M51,217.138
M22,M52,228.138
M22,M53,239.138
M22,M54,250.138
M22,M55,261.138
M22,M56,290.73
M22,M57,288.53
M22,M58,299.53
M22,M59,310.53
M22,M60,255.53
M22,M61,234.738
M22,M62,245.738
M22,M63,256.738
M22,M64,267.738
M22,M65,278.738
M22,M66,308.33
M22,M67,306.13
M22,M68,317.13
M22,M69,328.13
M22,M70,273.13
M22,M71,252.338
M22,M72,263.338
M22,M73,274.338
M22,M74,285.338
M22,M75,296.338
M22,M76,325.93
M22,M77,323.73
M22,M78,334.73
M22,M79,345.73
M22,M80,290.73
M22,M81,269.938
M22,M82,280.938
M22,M83,291.938
M22,M84,302.938
M22,M85,313.938
M22,M86,343.53
M22,M87,341.33
M22,M88,352.33
M22,M89,363.33
M22,M90,308.33
M22,M91,287.538
M22,M92,298.538
M22,M93,309.538
M22,M94,320.538
M22,M95,331.538
M22,M96,361.13
M22,M97,372.13
M22,M98,383.13
M22,M99,394.13
M22,M100,405.13
M23,M1,309.875
M23,M2,320.875
M23,M3,331.875
M23,M4,342.875
M23,M5,353.875
M23,M6,198.122
M23,M7,209.122
M23,M8,220.122
M23,M9,231.122
M23,M10,242.122
M23,M11,276.114
M23,M12,287.114
M23,M13,258.514
M23,M14,269.514
M23,M15,280.514
M23,M16,244.107
M23,M17,51.792
M23,M18,62.792
M23,M19,73.792
M23,M20,84.792
M23,M21,118.784
M23,M22,129.784
M23,M24,31.0
M23,M25,42.0
M23,M26,71.592
M23,M27,82.592
M23,M28,93.592
M23,M29,104.592
M23,M30,115.592
M23,M31,136.384
M23,M32,147.384
M23,M33,131.984
M23,M34,142.984
M23,M35,92.384
M23,M36,121.977
M23,M37,132.977
M23,M38,143.977
M23,M39,154.977
M23,M40,165.977
M23,M41,153.984
M23,M42,164.984
M23,M43,175.984
M23,M44,186.984
M23,M45,142.769
M23,M46,172.361
M23,M47,183.361
M23,M48,194.361
M23,M49,205.361
M23,M50,216.361
M23,M51,206.138
M23,M52,217.138
M23,M53,228.138
M23,M54,239.138
M23,M55,250.138
M23,M56,279.73
M23,M57,277.53
M23,M58,288.53
M23,M59,299.53
M23,M60,244.53
M23,M61,223.738
M23,M62,234.738
M23,M63,245.738
M23,M64,256.738
M23,M65,267.738
M23,M66,297.33
M23,M67,295.13
M23,M68,306.13
M23,M69,317.13
M23,M70,262.13
M23,M71,241.338
M23,M72,252.338
M23,M73,263.338
M23,M74,274.338
M23,M75,285.338
M23,M76,314.93
M23,M77,312.73
M23,M78,323.73
M23,M79,334.73
M23,M80,279.73
M23,M81,258.938
M23,M82,269.938
M23,M83,280.938
M23,M84,291.938
M23,M85,302.938
M23,M86,332.53
M23,M87,330.33
M23,M88,341.33
M23,M89,352.33
M23,M90,297.33
M23,M91,276.538
M23,M92,287.538
M23,M93,298.538
M23,M94,309.538
M23,M95,320.538
M23,M96,350.13
M23,M97,361.13
M23,M98,372.13
M23,M99,383.13
M23,M100,394.13
M24,M1,298.875
M24,M2,309.875
M24,M3,320.875
M24,M4,331.875
M24,M5,342.875
M24,M6,187.122
M24,M7,198.122
M24,M8,209.122
M24,M9,220.122
M24,M10,231.122
M24,M11,265.114
M24,M12,276.114
M24,M13,247.514
M24,M14,258.514
M24,M15,269.514
M24,M16,233.107
M24,M17,40.792
M24,M18,51.792
M24,M19,62.792
M24,M20,73.792
M24,M21,107.784
M24,M22,118.784
M24,M23,90.184
M24,M25,31.0
M24,M26,60.592
M24,M27,71.592
M24,M28,82.592
M24,M29,93.592
M24,M30,104.592
M24,M31,125.384
M24,M32,136.384
M24,M33,120.984
M24,M34,131.984
M24,M35,81.384
M24,M36,110.977
M24,M37,121.977
M24,M38,132.977
M24,M39,143.977
M24,M40,154.977
M24,M41,142.984
M24,M42,153.984
M24,M43,164.984
M24,M44,175.984
M24,M45,131.769
M24,M46,161.361
M24,M47,172.361
M24,M48,183.361
M24,M49,194.361
M24,M50,205.361
M24,M51,195.138
M24,M52,206.138
M24,M53,217.138
M24,M54,228.138
M24,M55,239.138
M24,M56,268.73
M24,M57,266.53
M24,M58,277.53
M24,M59,288.53
M24,M60,233.53
M24,M61,212.738
M24,M62,223.738
M24,M63,234.738
M24,M64,245.738
M24,M65,256.738
M24,M66,286.33
M24,M67,284.13
M24,M68,295.13
M24,M69,306.13
M24,M70,251.13
M24,M71,230.338
M24,M72,241.338
M24,M73,252.338
M24,M74,263.338
M24,M75,274.338
M24,M76,303.93
M24,M77,301.73
M24,M78,312.73
M24,M79,323.73
M24,M80,268.73
M24,M81,247.938
M24,M82,258.938
M24,M83,269.938
M24,M84,280.938
M24,M85,291.938
M24,M86,321.53
M24,M87,319.33
M24,M88,330.33
M24,M89,341.33
M24,M90,286.33
M24,M91,265.538
M24,M92,276.538
M24,M93,287.538
M24,M94,298.538
M24,M95,309.538
M24,M96,339.13
M24,M97,350.13
M24,M98,361.13
M24,M99,372.13
M24,M100,383.13
M25,M1,287.875
M25,M2,298.875
M25,M3,309.875
M25,M4,320.875
M25,M5,331.875
M25,M6,176.122
M25,M7,187.122
M25,M8,198.122
M25,M9,209.122
M25,M10,220.122
M25,M11,254.114
M25,M12,265.114
M25,M13,236.514
M25,M14,247.514
M25,M15,258.514
M25,M16,222.107
M25,M17,233.107
M25,M18,244.107
M25,M19,255.107
M25,M20,266.107
M25,M21,271.714
M25,M22,282.714
M25,M23,282.499
M25,M24,293.499
M25,M26,49.592
M25,M27,60.592
M25,M28,71.592
M25,M29,82.592
M25,M30,93.592
M25,M31,127.584
M25,M32,138.584
M25,M33,109.984
M25,M34,120.984
M25,M35,70.384
M25,M36,99.977
M25,M37,110.977
M25,M38,121.977
M25,M39,132.977
M25,M40,143.977
M25,M41,145.184
M25,M42,156.184
M25,M43,160.369
M25,M44,171.369
M25,M45,120.769
M25,M46,150.361
M25,M47,161.361
M25,M48,172.361
M25,M49,183.361
M25,M50,194.361
M25,M51,197.338
M25,M52,208.338
M25,M53,219.338
M25,M54,230.338
M25,M55,241.338
M25,M56,270.93
M25,M57,268.73
M25,M58,279.73
M25,M59,290.73
M25,M60,235.73
M25,M61,214.938
M25,M62,225.938
M25,M63,236.938
M25,M64,247.938
M25,M65,258.938
M25,M66,288.53
M25,M67,286.33
M25,M68,297.33
M25,M69,308.33
M25,M70,253.33
M25,M71,232.538
M25,M72,243.538
M25,M73,254.538
M25,M74,265.538
M25,M75,276.538
M25,M76,306.13
M25,M77,303.93
M25,M78,314.93
M25,M79,325.93
M25,M80,270.93
M25,M81,250.138
M25,M82,261.138
M25,M83,272.138
M25,M84,283.138
M25,M85,294.138
M25,M86,323.73
M25,M87,321.53
M25,M88,332.53
M25,M89,343.53
M25,M90,288.53
M25,M91,267.738
M25,M92,278.738
M25,M93,289.738
M25,M94,300.738
M25,M95,311.738
M25,M96,341.33
M25,M97,352.33
M25,M98,363.33
M25,M99,374.33
M25,M100,385.33
M26,M1,258.283
M26,M2,269.283
M26,M3,280.283
M26,M4,291.283
M26,M5,302.283
M26,M6,146.53
M26,M7,157.53
M26,M8,168.53
M26,M9,179.53
M26,M10,190.53
M26,M11,224.522
M26,M12,235.522
M26,M13,206.922
M26,M14,217.922
M26,M15,228.922
M26,M16,192.514
M26,M17,203.514
M26,M18,214.514
M26,M19,225.514
M26,M20,236.514
M26,M21,242.122
M26,M22,253.122
M26,M23,252.907
M26,M24,263.907
M26,M25,213.307
M26,M27,31.0
M26,M28,42.0
M26,M29,53.0
M26,M30,64.0
M26,M31,97.992
M26,M32,108.992
M26,M33,80.392
M26,M34,91.392
M26,M35,40.792
M26,M36,70.384
M26,M37,81.384
M26,M38,92.384
M26,M39,103.384
M26,M40,114.384
M26,M41,115.592
M26,M42,126.592
M26,M43,130.777
M26,M44,141.777
M26,M45,91.177
M26,M46,120.769
M26,M47,131.769
M26,M48,142.769
M26,M49,153.769
M26,M50,164.769
M26,M51,167.745
M26,M52,178.745
M26,M53,189.745
M26,M54,200.745
M26,M55,211.745
M26,M56,241.338
M26,M57,239.138
M26,M58,250.138
M26,M59,261.138
M26,M60,206.138
M26,M61,185.345
M26,M62,196.345
M26,M63,207.345
M26,M64,218.345
M26,M65,229.345
M26,M66,258.938
M26,M67,256.738
M26,M68,267.738
M26,M69,278.738
M26,M70,223.738
M26,M71,202.945
M26,M72,213.945
M26,M73,224.945
M26,M74,235.945
M26,M75,246.945
M26,M76,276.538
M26,M77,274.338
M26,M78,285.338
M26,M79,296.338
M26,M80,241.338
M26,M81,220.545
M26,M82,231.545
M26,M83,242.545
M26,M84,253.545
M26,M85,264.545
M26,M86,294.138
M26,M87,291.938
M26,M88,302.938
M26,M89,313.938
M26,M90,258.938
M26,M91,238.145
M26,M92,249.145
M26,M93,260.145
M26,M94,271.145
M26,M95,282.145
M26,M96,311.738
M26,M97,322.738
M26,M98,333.738
M26,M99,344.738
M26,M100,355.738
M27,M1,279.299
M27,M2,290.299
M27,M3,301.299
M27,M4,312.299
M27,M5,323.299
M27,M6,197.13
M27,M7,208.13
M27,M8,219.13
M27,M9,230.13
M27,M10,241.13
M27,M11,275.122
M27,M12,286.122
M27,M13,257.522
M27,M14,268.522
M27,M15,279.522
M27,M16,243.114
M27,M17,254.114
M27,M18,265.114
M27,M19,276.114
M27,M20,287.114
M27,M21,292.722
M27,M22,303.722
M27,M23,303.507
M27,M24,314.507
M27,M25,263.907
M27,M26,161.93
M27,M28,31.0
M27,M29,42.0
M27,M30,53.0
M27,M31,86.992
M27,M32,97.992
M27,M33,69.392
M27,M34,80.392
M27,M35,91.392
M27,M36,120.984
M27,M37,131.984
M27,M38,142.984
M27,M39,153.984
M27,M40,125.384
M27,M41,104.592
M27,M42,115.592
M27,M43,126.592
M27,M44,137.592
M27,M45,141.777
M27,M46,171.369
M27,M47,182.369
M27,M48,193.369
M27,M49,204.369
M27,M50,215.369
M27,M51,156.745
M27,M52,167.745
M27,M53,178.745
M27,M54,189.745
M27,M55,200.745
M27,M56,230.338
M27,M57,228.138
M27,M58,239.138
M27,M59,250.138
M27,M60,195.138
M27,M61,174.345
M27,M62,185.345
M27,M63,196.345
M27,M64,207.345
M27,M65,218.345
M27,M66,247.938
M27,M67,245.738
M27,M68,256.738
M27,M69,267.738
M27,M70,212.738
M27,M71,191.945
M27,M72,202.945
M27,M73,213.945
M27,M74,224.945
M27,M75,235.945
M27,M76,265.538
M27,M77,263.338
M27,M78,274.338
M27,M79,285.338
M27,M80,230.338
M27,M81,209.545
M27,M82,220.545
M27,M83,231.545
M27,M84,242.545
M27,M85,253.545
M27,M86,283.138
M27,M87,280.938
M27,M88,291.938
M27,M89,302.938
M27,M90,247.938
M27,M91,227.145
M27,M92,238.145
M27,M93,249.145
M27,M94,260.145
M27,M95,271.145
M27,M96,300.738
M27,M97,311.738
M27,M98,322.738
M27,M99,333.738
M27,M100,344.738
M28,M1,268.299
M28,M2,279.299
M28,M3,290.299
M28,M4,301.299
M28,M5,312.299
M28,M6,186.13
M28,M7,197.13
M28,M8,208.13
M28,M9,219.13
M28,M10,230.13
M28,M11,264.122
M28,M12,275.122
M28,M13,246.522
M28,M14,257.522
M28,M15,268.522
M28,M16,232.114
M28,M17,243.114
M28,M18,254.114
M28,M19,265.114
M28,M20,276.114
M28,M21,281.722
M28,M22,292.722
M28,M23,292.507
M28,M24,303.507
M28,M25,252.907
M28,M26,150.93
M28,M27,90.184
M28,M29,31.0
M28,M30,42.0
M28,M31,75.992
M28,M32,86.992
M28,M33,58.392
M28,M34,69.392
M28,M35,80.392
M28,M36,109.984
M28,M37,120.984
M28,M38,131.984
M28,M39,142.984
M28,M40,114.384
M28,M41,93.592
M28,M42,104.592
M28,M43,115.592
M28,M44,126.592
M28,M45,130.777
M28,M46,160.369
M28,M47,171.369
M28,M48,182.369
M28,M49,193.369
M28,M50,204.369
M28,M51,145.745
M28,M52,156.745
M28,M53,167.745
M28,M54,178.745
M28,M55,189.745
M28,M56,219.338
M28,M57,217.138
M28,M58,228.138
M28,M59,239.138
M28,M60,184.138
M28,M61,163.345
M28,M62,174.345
M28,M63,185.345
M28,M64,196.345
M28,M65,207.345
M28,M66,236.938
M28,M67,234.738
M28,M68,245.738
M28,M69,256.738
M28,M70,201.738
M28,M71,180.945
M28,M72,191.945
M28,M73,202.945
M28,M74,213.945
M28,M75,224.945
M28,M76,254.538
M28,M77,252.338
M28,M78,263.338
M28,M79,274.338
M28,M80,219.338
M28,M81,198.545
M28,M82,209.545
M28,M83,220.545
M28,M84,231.545
M28,M85,242.545
M28,M86,272.138
M28,M87,269.938
M28,M88,280.938
M28,M89,291.938
M28,M90,236.938
M28,M91,216.145
M28,M92,227.145
M28,M93,238.145
M28,M94,249.145
M28,M95,260.145
M28,M96,289.738
M28,M97,300.738
M28,M98,311.738
M28,M99,322.738
M28,M100,333.738
M29,M1,257.299
M29,M2,268.299
M29,M3,279.299
M29,M4,290.299
M29,M5,301.299
M29,M6,214.73
M29,M7,225.73
M29,M8,236.73
M29,M9,247.73
M29,M10,258.73
M29,M11,259.605
M29,M12,270.605
M29,M13,275.122
M29,M14,286.122
M29,M15,297.122
M29,M16,260.714
M29,M17,271.714
M29,M18,282.714
