from_machine,to_machine,with_handling_sec
M3,M82,318.338
M3,M83,329.338
M3,M84,340.338
M3,M85,351.338
M3,M86,380.93
M3,M87,378.73
M3,M88,389.73
M3,M89,400.73
M3,M90,345.73
M3,M91,324.938
M3,M92,335.938
M3,M93,346.938
M3,M94,357.938
M3,M95,368.938
M3,M96,355.314
M3,M97,366.314
M3,M98,377.314
M3,M99,388.314
M3,M100,399.314
M4,M1,259.275
M4,M2,270.275
M4,M3,281.275
M4,M5,31.0
M4,M6,60.592
M4,M7,71.592
M4,M8,82.592
M4,M9,93.592
M4,M10,104.592
M4,M11,138.584
M4,M12,149.584
M4,M13,120.984
M4,M14,131.984
M4,M15,142.984
M4,M16,106.577
M4,M17,117.577
M4,M18,128.577
M4,M19,139.577
M4,M20,150.577
M4,M21,156.184
M4,M22,167.184
M4,M23,166.969
M4,M24,177.969
M4,M25,127.369
M4,M26,156.961
M4,M27,167.961
M4,M28,178.961
M4,M29,189.961
M4,M30,194.577
M4,M31,173.784
M4,M32,184.784
M4,M33,195.784
M4,M34,206.784
M4,M35,177.753
M4,M36,207.346
M4,M37,218.346
M4,M38,229.346
M4,M39,240.346
M4,M40,212.177
M4,M41,191.384
M4,M42,202.384
M4,M43,213.384
M4,M44,224.384
M4,M45,228.138
M4,M46,257.73
M4,M47,268.73
M4,M48,279.73
M4,M49,290.73
M4,M50,301.73
M4,M51,243.538
M4,M52,254.538
M4,M53,265.538
M4,M54,276.538
M4,M55,287.538
M4,M56,317.13
M4,M57,314.93
M4,M58,325.93
M4,M59,336.93
M4,M60,281.93
M4,M61,261.138
M4,M62,272.138
M4,M63,283.138
M4,M64,294.138
M4,M65,305.138
M4,M66,334.73
M4,M67,332.53
M4,M68,343.53
M4,M69,354.53
M4,M70,299.53
M4,M71,278.738
M4,M72,289.738
M4,M73,300.738
M4,M74,311.738
M4,M75,322.738
M4,M76,352.33
M4,M77,350.13
M4,M78,361.13
M4,M79,372.13
M4,M80,317.13
M4,M81,296.338
M4,M82,307.338
M4,M83,318.338
M4,M84,329.338
M4,M85,340.338
M4,M86,369.93
M4,M87,367.73
M4,M88,378.73
M4,M89,389.73
M4,M90,334.73
M4,M91,313.938
M4,M92,324.938
M4,M93,335.938
M4,M94,346.938
M4,M95,357.938
M4,M96,344.314
M4,M97,355.314
M4,M98,366.314
M4,M99,377.314
M4,M100,388.314
M5,M1,248.275
M5,M2,259.275
M5,M3,270.275
M5,M4,281.275
M5,M6,49.592
M5,M7,60.592
M5,M8,71.592
M5,M9,82.592
M5,M10,93.592
M5,M11,127.584
M5,M12,138.584
M5,M13,109.984
M5,M14,120.984
M5,M15,131.984
M5,M16,95.577
M5,M17,106.577
M5,M18,117.577
M5,M19,128.577
M5,M20,139.577
M5,M21,145.184
M5,M22,156.184
M5,M23,155.969
M5,M24,166.969
M5,M25,116.369
M5,M26,145.961
M5,M27,156.961
M5,M28,167.961
M5,M29,178.961
M5,M30,183.577
