task_id,lot_id,from_step_no,to_step_no,source_machine,source_group,source_bay,dest_machine,dest_group,dest_bay,planned_ready_sec,planned_due_sec,planned_avg_travel_sec,planned_slack_sec
T0000042,L00002,4,5,M91,ETCH_D,Bay10,M96,METRO_D,Bay10,2355.984,3096.75,65.0,675.7660000000001
T0000043,L00002,5,6,M96,METRO_D,Bay10,M5,ETCH_A,Bay1,3335.25,3511.795,110.0,66.54500000000007
T0000044,L00002,6,7,M5,ETCH_A,Bay1,M18,IMP_A,Bay2,3651.295,3768.8720000000003,110.0,7.5770000000002256
T0000045,L00002,7,8,M18,IMP_A,Bay2,M10,CMP_A,Bay1,3956.3720000000003,4236.886,110.0,170.51400000000012
T0000046,L00002,8,9,M10,CMP_A,Bay1,M51,PHOTO_C,Bay6,4499.386,6321.75,550.0,1272.3639999999996
T0000047,L00002,9,10,M51,PHOTO_C,Bay6,M59,ETCH_C,Bay6,6570.75,6769.842,65.0,134.09199999999964
T0000048,L00002,10,11,M59,ETCH_C,Bay6,M81,CVD_D,Bay9,6937.092,8361.0,330.0,1093.9080000000004
T0000049,L00002,11,12,M81,CVD_D,Bay9,M87,IMP_E,Bay9,8852.25,8956.842,65.0,39.59200000000055
T0000050,L00002,12,13,M87,IMP_E,Bay9,M7,CMP_A,Bay1,9338.592,9549.130000000001,220.0,-9.461999999999534
T0000051,L00002,13,14,M7,CMP_A,Bay1,M40,METRO_B,Bay4,9751.630000000001,9912.214000000002,330.0,-169.41599999999926
T0000052,L00002,14,15,M40,METRO_B,Bay4,M71,PHOTO_D,Bay8,10156.714000000002,12343.5,440.0,1746.7859999999982
T0000053,L00002,15,16,M71,PHOTO_D,Bay8,M72,PHOTO_D,Bay8,12734.25,15092.25,65.0,2293.0
T0000054,L00002,16,17,M72,PHOTO_D,Bay8,M93,ETCH_D,Bay10,15198.75,15422.884,220.0,4.1340000000000146
T0000055,L00002,17,18,M93,ETCH_D,Bay10,M16,CVD_A,Bay2,15526.384,16167.0,220.0,420.616
T0000056,L00002,18,19,M16,CVD_A,Bay2,M39,METRO_B,Bay4,16331.25,16485.019,220.0,-66.23099999999977
T0000057,L00002,19,20,M39,METRO_B,Bay4,M33,CVD_B,Bay4,16666.519,17091.75,65.0,360.23099999999977
T0000058,L00002,20,21,M33,CVD_B,Bay4,M70,IMP_C,Bay7,17256.75,17517.842,330.0,-68.90799999999945
T0000059,L00002,21,22,M70,IMP_C,Bay7,M83,CMP_D,Bay9,17986.592,18080.184,220.0,-126.40799999999945
T0000060,L00002,22,23,M83,CMP_D,Bay9,M71,PHOTO_D,Bay8,18260.184,21520.5,110.0,3150.315999999999
T0000061,L00002,23,24,M71,PHOTO_D,Bay8,M93,ETCH_D,Bay10,22197.0,22328.984,220.0,-88.01599999999962
T0000062,L00002,24,25,M93,ETCH_D,Bay10,M95,METRO_D,Bay10,22499.984,22541.984,65.0,-23.0
T0000063,L00002,25,26,M95,METRO_D,Bay10,M15,CVD_A,Bay2,22753.484,23012.075,220.0,38.59100000000035
T0000064,L00002,26,27,M15,CVD_A,Bay2,M19,IMP_A,Bay2,23286.575,23369.167,65.0,17.592000000000553
T0000065,L00002,27,28,M19,IMP_A,Bay2,M36,CMP_B,Bay4,23510.917,23667.101000000002,220.0,-63.815999999998894
T0000066,L00002,28,29,M36,CMP_B,Bay4,M21,PHOTO_A,Bay3,24100.601000000002,27294.75,110.0,3084.1489999999976
T0000067,L00002,29,30,M21,PHOTO_A,Bay3,M6,ETCH_A,Bay1,27488.25,27729.122,220.0,20.87199999999939
T0000068,L00002,30,31,M6,ETCH_A,Bay1,M12,CVD_A,Bay2,28263.122,28541.308999999997,110.0,168.18699999999808
T0000069,L00002,31,32,M12,CVD_A,Bay2,M19,IMP_A,Bay2,29022.058999999997,29137.650999999998,65.0,50.59200000000055
T0000070,L00002,32,33,M19,IMP_A,Bay2,M30,METRO_A,Bay3,29311.650999999998,29569.715,110.0,148.06400000000212
T0000071,L00002,33,34,M30,METRO_A,Bay3,M90,IMP_E,Bay9,29761.715,29976.653,440.0,-225.06200000000172
T0000072,L00002,34,35,M90,IMP_E,Bay9,M21,PHOTO_A,Bay3,30113.153,33334.5,440.0,2781.3470000000016
T0000073,L00002,35,36,M21,PHOTO_A,Bay3,M49,ETCH_B,Bay5,33549.0,33765.577,220.0,-3.423000000002503
T0000074,L00002,36,37,M49,ETCH_B,Bay5,M76,METRO_C,Bay8,33955.327,34163.665,330.0,-121.66199999999662
T0000075,L00002,37,38,M76,METRO_C,Bay8,M2,ETCH_A,Bay1,34327.915,34533.138,330.0,-124.77700000000186
T0000076,L00002,38,39,M2,ETCH_A,Bay1,M18,IMP_A,Bay2,34645.638,34863.40099999999,110.0,107.76299999999173
T0000077,L00002,39,40,M18,IMP_A,Bay2,M29,METRO_A,Bay3,35071.90099999999,35214.88499999999,110.0,32.98399999999674
T0000078,L00003,3,4,M21,PHOTO_A,Bay3,M4,ETCH_A,Bay1,262.5,741.0,220.0,258.5
T0000079,L00003,4,5,M4,ETCH_A,Bay1,M98,METRO_D,Bay10,1384.5,2095.5,110.0,601.0
T0000080,L00003,5,6,M98,METRO_D,Bay10,M5,ETCH_A,Bay1,2334.0,2488.545,110.0,44.54500000000007
T0000081,L00003,6,7,M5,ETCH_A,Bay1,M18,IMP_A,Bay2,2628.045,2840.23,110.0,102.18499999999995
T0000082,L00003,7,8,M18,IMP_A,Bay2,M37,CMP_B,Bay4,3027.73,3600.0,220.0,352.27
T0000083,L00003,8,9,M37,CMP_B,Bay4,M52,PHOTO_C,Bay6,3862.5,5325.75,220.0,1243.25
T0000084,L00003,9,10,M52,PHOTO_C,Bay6,M60,ETCH_C,Bay6,5574.75,5701.342,65.0,61.59199999999964
T0000085,L00003,10,11,M60,ETCH_C,Bay6,M32,CVD_B,Bay4,5868.592,7298.25,220.0,1209.6580000000004
T0000086,L00003,11,12,M32,CVD_B,Bay4,M26,IMP_B,Bay3,7789.5,7942.038,110.0,42.537999999999556
T0000087,L00003,12,13,M26,IMP_B,Bay3,M8,CMP_A,Bay1,8323.788,8492.318000000001,220.0,-51.469999999999345
T0000088,L00003,13,14,M8,CMP_A,Bay1,M40,METRO_B,Bay4,8694.818000000001,8891.741,330.0,-133.07700000000114
T0000089,L00003,14,15,M40,METRO_B,Bay4,M51,PHOTO_C,Bay6,9136.241,11301.0,220.0,1944.759
T0000090,L00003,15,16,M51,PHOTO_C,Bay6,M23,PHOTO_A,Bay3,11691.75,13995.0,330.0,1973.25
T0000091,L00003,16,17,M23,PHOTO_A,Bay3,M50,ETCH_B,Bay5,14101.5,14364.611,220.0,43.111000000000786
T0000092,L00003,17,18,M50,ETCH_B,Bay5,M33,CVD_B,Bay4,14468.111,15168.75,110.0,590.6389999999992
T0000093,L00003,18,19,M33,CVD_B,Bay4,M29,METRO_A,Bay3,15333.0,15535.849,110.0,92.84900000000016
T0000094,L00003,19,20,M29,METRO_A,Bay3,M32,CVD_B,Bay4,15717.349,16290.0,110.0,462.65099999999984
T0000095,L00003,20,21,M32,CVD_B,Bay4,M26,IMP_B,Bay3,16455.0,16578.538,110.0,13.538000000000466
T0000096,L00003,21,22,M26,IMP_B,Bay3,M7,CMP_A,Bay1,17047.288,17204.818,220.0,-62.470000000001164
T0000097,L00003,22,23,M7,CMP_A,Bay1,M71,PHOTO_D,Bay8,17384.818,20544.0,330.0,2829.1820000000007
T0000098,L00003,23,24,M71,PHOTO_D,Bay8,M93,ETCH_D,Bay10,21220.5,21352.484,220.0,-88.01599999999962
T0000099,L00003,24,25,M93,ETCH_D,Bay10,M98,METRO_D,Bay10,21523.484,21617.076,65.0,28.592000000000553
T0000100,L00003,25,26,M98,METRO_D,Bay10,M14,CVD_A,Bay2,21828.576,21989.721,220.0,-58.85499999999956
T0000101,L00003,26,27,M14,CVD_A,Bay2,M18,IMP_A,Bay2,22264.221,22346.813000000002,65.0,17.592000000000553
T0000102,L00003,27,28,M18,IMP_A,Bay2,M83,CMP_D,Bay9,22488.563000000002,22726.708000000002,330.0,-91.85499999999956
T0000103,L00003,28,29,M83,CMP_D,Bay9,M21,PHOTO_A,Bay3,23160.208000000002,26459.25,440.0,2859.0419999999976
T0000104,L00003,29,30,M21,PHOTO_A,Bay3,M49,ETCH_B,Bay5,26652.75,26869.327,220.0,-3.422999999998865
T0000105,L00003,30,31,M49,ETCH_B,Bay5,M63,CVD_C,Bay7,27403.327,27584.007,220.0,-39.31999999999971
T0000106,L00003,31,32,M63,CVD_C,Bay7,M86,IMP_E,Bay9,28064.757,28228.318000000003,220.0,-56.43899999999849
T0000107,L00003,32,33,M86,IMP_E,Bay9,M98,METRO_D,Bay10,28402.318000000003,28556.302000000003,110.0,43.98400000000038
T0000108,L00003,33,34,M98,METRO_D,Bay10,M99,IMP_F,Bay10,28748.302000000003,28779.302000000003,65.0,-34.0
T0000109,L00003,34,35,M99,IMP_F,Bay10,M43,PHOTO_B,Bay5,28915.802000000003,32079.75,550.0,2613.9479999999967
T0000110,L00003,35,36,M43,PHOTO_B,Bay5,M47,ETCH_B,Bay5,32294.25,32376.842,65.0,17.592000000000553
T0000111,L00003,36,37,M47,ETCH_B,Bay5,M75,METRO_C,Bay8,32566.592,32767.337,330.0,-129.25500000000102
T0000112,L00003,37,38,M75,METRO_C,Bay8,M2,ETCH_A,Bay1,32931.587,33139.925,330.0,-121.66199999999662
T0000113,L00003,38,39,M2,ETCH_A,Bay1,M19,IMP_A,Bay2,33252.425,33455.898,110.0,93.47299999999814
T0000114,L00003,39,40,M19,IMP_A,Bay2,M39,METRO_B,Bay4,33664.398,33908.35899999999,220.0,23.960999999988417
T0000115,L00004,4,5,M1,ETCH_A,Bay1,M39,METRO_B,Bay4,643.5,1275.75,330.0,302.25
T0000116,L00004,5,6,M39,METRO_B,Bay4,M60,ETCH_C,Bay6,1514.25,1669.788,220.0,-64.46199999999999
T0000117,L00004,6,7,M60,ETCH_C,Bay6,M88,IMP_E,Bay9,1809.288,2009.25,330.0,-130.038
T0000118,L00004,7,8,M88,IMP_E,Bay9,M66,CMP_C,Bay7,2196.75,2677.5,220.0,260.75
T0000119,L00004,8,9,M66,CMP_C,Bay7,M24,PHOTO_A,Bay3,2940.0,4200.75,440.0,820.75
T0000120,L00004,9,10,M24,PHOTO_A,Bay3,M45,ETCH_B,Bay5,4449.75,4581.519,220.0,-88.23099999999977
T0000121,L00004,10,11,M45,ETCH_B,Bay5,M14,CVD_A,Bay2,4748.769,6082.5,330.0,1003.7309999999998
T0000122,L00004,11,12,M14,CVD_A,Bay2,M20,IMP_A,Bay2,6573.75,6700.515,65.0,61.76500000000033
T0000123,L00004,12,13,M20,IMP_A,Bay2,M68,CMP_C,Bay7,7082.265,7323.603,550.0,-308.66200000000026
