op_uid,lot_id,step_no,machine_type,machine,machine_group,bay,prev_bay,prev_machine,planned_travel_sec,ready_at_machine_sec,start_sec,end_sec,planned_proc_sec,machine_wait_sec,release_time
1,L00001,1,CMP,M7,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,214.5,214.5,0.0,0.0
2,L00002,2,CVD,M11,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,611.25,611.25,0.0,0.0
3,L00003,3,PHOTO,M21,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
4,L00004,4,ETCH,M1,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,643.5,643.5,0.0,0.0
5,L00005,5,METRO,M28,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,238.5,238.5,0.0,0.0
6,L00006,6,ETCH,M2,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,139.5,139.5,0.0,0.0
7,L00007,7,IMP,M17,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,187.5,187.5,0.0,0.0
8,L00008,8,CMP,M8,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
9,L00009,9,PHOTO,M22,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,249.0,249.0,0.0,0.0
10,L00010,10,ETCH,M3,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,167.25,167.25,0.0,0.0
11,L00011,11,CVD,M12,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,491.25,491.25,0.0,0.0
12,L00012,12,IMP,M18,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,381.75,381.75,0.0,0.0
13,L00013,13,CMP,M9,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,202.5,202.5,0.0,0.0
14,L00014,14,METRO,M29,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,244.5,244.5,0.0,0.0
15,L00015,15,PHOTO,M23,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,390.75,390.75,0.0,0.0
16,L00016,16,PHOTO,M24,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,106.5,106.5,0.0,0.0
17,L00017,17,ETCH,M4,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,103.5,103.5,0.0,0.0
18,L00018,18,CVD,M13,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,164.25,164.25,0.0,0.0
19,L00019,19,METRO,M30,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,181.5,181.5,0.0,0.0
20,L00020,20,CVD,M14,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,165.0,165.0,0.0,0.0
21,L00021,21,IMP,M19,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,468.75,468.75,0.0,0.0
22,L00022,22,CMP,M10,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,180.0,180.0,0.0,0.0
23,L00023,23,PHOTO,M41,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,676.5,676.5,0.0,0.0
24,L00024,24,ETCH,M5,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,171.0,171.0,0.0,0.0
25,L00025,25,METRO,M39,METRO_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,211.5,211.5,0.0,0.0
26,L00026,26,CVD,M15,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,274.5,274.5,0.0,0.0
27,L00027,27,IMP,M20,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,141.75,141.75,0.0,0.0
28,L00028,28,CMP,M36,CMP_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,433.5,433.5,0.0,0.0
29,L00029,29,PHOTO,M42,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,193.5,193.5,0.0,0.0
30,L00030,30,ETCH,M6,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,0.0,534.0,534.0,0.0,0.0
31,L00031,31,CVD,M16,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,0.0,480.75,480.75,0.0,0.0
32,L00032,32,IMP,M25,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,174.0,174.0,0.0,0.0
33,L00033,33,METRO,M40,METRO_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,192.0,192.0,0.0,0.0
34,L00034,34,IMP,M26,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,136.5,136.5,0.0,0.0
35,L00035,35,PHOTO,M43,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,214.5,214.5,0.0,0.0
36,L00036,36,ETCH,M45,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,189.75,189.75,0.0,0.0
37,L00037,37,METRO,M75,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,164.25,164.25,0.0,0.0
38,L00038,38,ETCH,M46,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,112.5,112.5,0.0,0.0
39,L00039,39,IMP,M27,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,0.0,208.5,208.5,0.0,0.0
40,L00040,40,METRO,M76,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,309.75,309.75,0.0,0.0
41,L00041,1,CMP,M37,CMP_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,214.5,214.5,0.0,0.0
42,L00042,2,CVD,M31,CVD_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,611.25,611.25,0.0,0.0
43,L00043,3,PHOTO,M44,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
44,L00044,4,ETCH,M47,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,643.5,643.5,0.0,0.0
45,L00045,5,METRO,M77,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,238.5,238.5,0.0,0.0
46,L00046,6,ETCH,M48,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,139.5,139.5,0.0,0.0
47,L00047,7,IMP,M69,IMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,187.5,187.5,0.0,0.0
48,L00048,8,CMP,M38,CMP_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
49,L00049,9,PHOTO,M51,PHOTO_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,249.0,249.0,0.0,0.0
50,L00050,10,ETCH,M49,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,167.25,167.25,0.0,0.0
51,L00051,11,CVD,M32,CVD_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,491.25,491.25,0.0,0.0
52,L00052,12,IMP,M70,IMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,381.75,381.75,0.0,0.0
53,L00053,13,CMP,M66,CMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,202.5,202.5,0.0,0.0
54,L00054,14,METRO,M78,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,244.5,244.5,0.0,0.0
55,L00055,15,PHOTO,M52,PHOTO_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,390.75,390.75,0.0,0.0
56,L00056,16,PHOTO,M53,PHOTO_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,106.5,106.5,0.0,0.0
57,L00057,17,ETCH,M50,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,0.0,103.5,103.5,0.0,0.0
58,L00058,18,CVD,M33,CVD_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,164.25,164.25,0.0,0.0
59,L00059,19,METRO,M94,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,181.5,181.5,0.0,0.0
60,L00060,20,CVD,M34,CVD_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,165.0,165.0,0.0,0.0
61,L00061,21,IMP,M79,IMP_D,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,468.75,468.75,0.0,0.0
62,L00062,22,CMP,M67,CMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,180.0,180.0,0.0,0.0
63,L00063,23,PHOTO,M54,PHOTO_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,676.5,676.5,0.0,0.0
64,L00064,24,ETCH,M55,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,171.0,171.0,0.0,0.0
65,L00065,25,METRO,M95,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,211.5,211.5,0.0,0.0
66,L00066,26,CVD,M35,CVD_B,Bay4,ENTRY,ENTRY,0.0,0.0,0.0,274.5,274.5,0.0,0.0
67,L00067,27,IMP,M80,IMP_D,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,141.75,141.75,0.0,0.0
68,L00068,28,CMP,M68,CMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,433.5,433.5,0.0,0.0
69,L00069,29,PHOTO,M71,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,193.5,193.5,0.0,0.0
70,L00070,30,ETCH,M56,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,534.0,534.0,0.0,0.0
71,L00071,31,CVD,M61,CVD_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,480.75,480.75,0.0,0.0
72,L00072,32,IMP,M86,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,174.0,174.0,0.0,0.0
73,L00073,33,METRO,M96,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,192.0,192.0,0.0,0.0
74,L00074,34,IMP,M87,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,136.5,136.5,0.0,0.0
75,L00075,35,PHOTO,M72,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,214.5,214.5,0.0,0.0
76,L00076,36,ETCH,M57,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,189.75,189.75,0.0,0.0
77,L00077,37,METRO,M97,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,164.25,164.25,0.0,0.0
78,L00078,38,ETCH,M58,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,112.5,112.5,0.0,0.0
79,L00079,39,IMP,M88,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,208.5,208.5,0.0,0.0
80,L00080,40,METRO,M98,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,309.75,309.75,0.0,0.0
81,L00081,1,CMP,M83,CMP_D,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,214.5,214.5,0.0,0.0
82,L00082,2,CVD,M62,CVD_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,611.25,611.25,0.0,0.0
83,L00083,3,PHOTO,M73,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
84,L00084,4,ETCH,M59,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,643.5,643.5,0.0,0.0
86,L00086,6,ETCH,M60,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,0.0,139.5,139.5,0.0,0.0
87,L00087,7,IMP,M89,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,187.5,187.5,0.0,0.0
88,L00088,8,CMP,M84,CMP_D,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,262.5,262.5,0.0,0.0
89,L00089,9,PHOTO,M74,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,0.0,249.0,249.0,0.0,0.0
90,L00090,10,ETCH,M91,ETCH_D,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,167.25,167.25,0.0,0.0
91,L00091,11,CVD,M63,CVD_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,491.25,491.25,0.0,0.0
92,L00092,12,IMP,M90,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,381.75,381.75,0.0,0.0
93,L00093,13,CMP,M85,CMP_D,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,202.5,202.5,0.0,0.0
97,L00097,17,ETCH,M92,ETCH_D,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,103.5,103.5,0.0,0.0
98,L00098,18,CVD,M64,CVD_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,164.25,164.25,0.0,0.0
100,L00100,20,CVD,M65,CVD_C,Bay7,ENTRY,ENTRY,0.0,0.0,0.0,165.0,165.0,0.0,0.0
101,L00101,21,IMP,M99,IMP_F,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,468.75,468.75,0.0,0.0
104,L00104,24,ETCH,M93,ETCH_D,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,171.0,171.0,0.0,0.0
106,L00106,26,CVD,M81,CVD_D,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,274.5,274.5,0.0,0.0
107,L00107,27,IMP,M100,IMP_F,Bay10,ENTRY,ENTRY,0.0,0.0,0.0,141.75,141.75,0.0,0.0
111,L00111,31,CVD,M82,CVD_D,Bay9,ENTRY,ENTRY,0.0,0.0,0.0,480.75,480.75,0.0,0.0
110,L00110,30,ETCH,M4,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,103.5,637.5,534.0,103.5,0.0
116,L00116,36,ETCH,M50,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,103.5,293.25,189.75,103.5,0.0
118,L00118,38,ETCH,M92,ETCH_D,Bay10,ENTRY,ENTRY,0.0,0.0,103.5,216.0,112.5,103.5,0.0
95,L00095,15,PHOTO,M24,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,106.5,497.25,390.75,106.5,0.0
96,L00096,16,PHOTO,M53,PHOTO_C,Bay6,ENTRY,ENTRY,0.0,0.0,106.5,213.0,106.5,106.5,0.0
124,L00124,4,ETCH,M46,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,112.5,756.0,643.5,112.5,0.0
126,L00126,6,ETCH,M58,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,112.5,252.0,139.5,112.5,0.0
112,L00112,32,IMP,M26,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,136.5,310.5,174.0,136.5,0.0
114,L00114,34,IMP,M87,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,136.5,273.0,136.5,136.5,0.0
130,L00130,10,ETCH,M2,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,139.5,306.75,167.25,139.5,0.0
137,L00137,17,ETCH,M48,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,139.5,243.0,103.5,139.5,0.0
144,L00144,24,ETCH,M60,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,139.5,310.5,171.0,139.5,0.0
119,L00119,39,IMP,M20,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,141.75,350.25,208.5,141.75,0.0
127,L00127,7,IMP,M80,IMP_D,Bay8,ENTRY,ENTRY,0.0,0.0,141.75,329.25,187.5,141.75,0.0
132,L00132,12,IMP,M100,IMP_F,Bay10,ENTRY,ENTRY,0.0,0.0,141.75,523.5,381.75,141.75,0.0
85,L00085,5,METRO,M75,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,164.25,402.75,238.5,164.25,0.0
94,L00094,14,METRO,M97,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,164.25,408.75,244.5,164.25,0.0
122,L00122,2,CVD,M13,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,164.25,775.5,611.25,164.25,0.0
131,L00131,11,CVD,M33,CVD_B,Bay4,ENTRY,ENTRY,0.0,0.0,164.25,655.5,491.25,164.25,0.0
138,L00138,18,CVD,M64,CVD_C,Bay7,ENTRY,ENTRY,0.0,0.0,164.25,328.5,164.25,164.25,0.0
140,L00140,20,CVD,M14,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,165.0,330.0,165.0,165.0,0.0
146,L00146,26,CVD,M34,CVD_B,Bay4,ENTRY,ENTRY,0.0,0.0,165.0,439.5,274.5,165.0,0.0
151,L00151,31,CVD,M65,CVD_C,Bay7,ENTRY,ENTRY,0.0,0.0,165.0,645.75,480.75,165.0,0.0
150,L00150,30,ETCH,M3,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,167.25,701.25,534.0,167.25,0.0
156,L00156,36,ETCH,M49,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,167.25,357.0,189.75,167.25,0.0
158,L00158,38,ETCH,M91,ETCH_D,Bay10,ENTRY,ENTRY,0.0,0.0,167.25,279.75,112.5,167.25,0.0
164,L00164,4,ETCH,M5,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,171.0,814.5,643.5,171.0,0.0
166,L00166,6,ETCH,M55,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,171.0,310.5,139.5,171.0,0.0
170,L00170,10,ETCH,M93,ETCH_D,Bay10,ENTRY,ENTRY,0.0,0.0,171.0,338.25,167.25,171.0,0.0
141,L00141,21,IMP,M25,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,174.0,642.75,468.75,174.0,0.0
147,L00147,27,IMP,M86,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,174.0,315.75,141.75,174.0,0.0
102,L00102,22,CMP,M10,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,180.0,360.0,180.0,180.0,0.0
108,L00108,28,CMP,M67,CMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,180.0,613.5,433.5,180.0,0.0
99,L00099,19,METRO,M30,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,181.5,363.0,181.5,181.5,0.0
105,L00105,25,METRO,M94,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,181.5,393.0,211.5,181.5,0.0
152,L00152,32,IMP,M17,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,187.5,361.5,174.0,187.5,0.0
154,L00154,34,IMP,M69,IMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,187.5,324.0,136.5,187.5,0.0
159,L00159,39,IMP,M89,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,187.5,396.0,208.5,187.5,0.0
177,L00177,17,ETCH,M45,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,189.75,293.25,103.5,189.75,0.0
184,L00184,24,ETCH,M57,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,189.75,360.75,171.0,189.75,0.0
113,L00113,33,METRO,M40,METRO_B,Bay4,ENTRY,ENTRY,0.0,0.0,192.0,384.0,192.0,192.0,0.0
117,L00117,37,METRO,M96,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,192.0,356.25,164.25,192.0,0.0
103,L00103,23,PHOTO,M42,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,193.5,870.0,676.5,193.5,0.0
109,L00109,29,PHOTO,M71,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,193.5,387.0,193.5,193.5,0.0
121,L00121,1,CMP,M9,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,202.5,417.0,214.5,202.5,0.0
128,L00128,8,CMP,M66,CMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,202.5,465.0,262.5,202.5,0.0
133,L00133,13,CMP,M85,CMP_D,Bay9,ENTRY,ENTRY,0.0,0.0,202.5,405.0,202.5,202.5,0.0
167,L00167,7,IMP,M27,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,208.5,396.0,187.5,208.5,0.0
172,L00172,12,IMP,M88,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,208.5,590.25,381.75,208.5,0.0
120,L00120,40,METRO,M39,METRO_B,Bay4,ENTRY,ENTRY,0.0,0.0,211.5,521.25,309.75,211.5,0.0
125,L00125,5,METRO,M95,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,211.5,450.0,238.5,211.5,0.0
163,L00163,3,PHOTO,M53,PHOTO_C,Bay6,ENTRY,ENTRY,0.0,0.0,213.0,475.5,262.5,213.0,0.0
115,L00115,35,PHOTO,M43,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,214.5,429.0,214.5,214.5,0.0
123,L00123,3,PHOTO,M72,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,214.5,477.0,262.5,214.5,0.0
142,L00142,22,CMP,M7,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,214.5,394.5,180.0,214.5,0.0
148,L00148,28,CMP,M37,CMP_B,Bay4,ENTRY,ENTRY,0.0,0.0,214.5,648.0,433.5,214.5,0.0
161,L00161,1,CMP,M83,CMP_D,Bay9,ENTRY,ENTRY,0.0,0.0,214.5,429.0,214.5,214.5,0.0
190,L00190,30,ETCH,M92,ETCH_D,Bay10,ENTRY,ENTRY,0.0,0.0,216.0,750.0,534.0,216.0,0.0
134,L00134,14,METRO,M28,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,238.5,483.0,244.5,238.5,0.0
139,L00139,19,METRO,M77,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,238.5,420.0,181.5,238.5,0.0
196,L00196,36,ETCH,M48,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,243.0,432.75,189.75,243.0,0.0
145,L00145,25,METRO,M29,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,244.5,456.0,211.5,244.5,0.0
153,L00153,33,METRO,M78,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,244.5,436.5,192.0,244.5,0.0
129,L00129,9,PHOTO,M22,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,249.0,498.0,249.0,249.0,0.0
135,L00135,15,PHOTO,M51,PHOTO_C,Bay6,ENTRY,ENTRY,0.0,0.0,249.0,639.75,390.75,249.0,0.0
136,L00136,16,PHOTO,M74,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,249.0,355.5,106.5,249.0,0.0
198,L00198,38,ETCH,M58,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,252.0,364.5,112.5,252.0,0.0
143,L00143,23,PHOTO,M21,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,262.5,939.0,676.5,262.5,0.0
149,L00149,29,PHOTO,M44,PHOTO_B,Bay5,ENTRY,ENTRY,0.0,0.0,262.5,456.0,193.5,262.5,0.0
155,L00155,35,PHOTO,M73,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,262.5,477.0,214.5,262.5,0.0
168,L00168,8,CMP,M8,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,262.5,525.0,262.5,262.5,0.0
173,L00173,13,CMP,M38,CMP_B,Bay4,ENTRY,ENTRY,0.0,0.0,262.5,465.0,202.5,262.5,0.0
182,L00182,22,CMP,M84,CMP_D,Bay9,ENTRY,ENTRY,0.0,0.0,262.5,442.5,180.0,262.5,0.0
181,L00181,21,IMP,M87,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,273.0,741.75,468.75,273.0,0.0
162,L00162,2,CVD,M15,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,274.5,885.75,611.25,274.5,0.0
171,L00171,11,CVD,M35,CVD_B,Bay4,ENTRY,ENTRY,0.0,0.0,274.5,765.75,491.25,274.5,0.0
178,L00178,18,CVD,M81,CVD_D,Bay9,ENTRY,ENTRY,0.0,0.0,274.5,438.75,164.25,274.5,0.0
204,L00204,4,ETCH,M91,ETCH_D,Bay10,ENTRY,ENTRY,0.0,0.0,279.75,923.25,643.5,279.75,0.0
206,L00206,6,ETCH,M45,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,293.25,432.75,139.5,293.25,0.0
210,L00210,10,ETCH,M50,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,293.25,460.5,167.25,293.25,0.0
217,L00217,17,ETCH,M2,ETCH_A,Bay1,ENTRY,ENTRY,0.0,0.0,306.75,410.25,103.5,306.75,0.0
157,L00157,37,METRO,M76,METRO_C,Bay8,ENTRY,ENTRY,0.0,0.0,309.75,474.0,164.25,309.75,0.0
160,L00160,40,METRO,M98,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,309.75,619.5,309.75,309.75,0.0
187,L00187,27,IMP,M26,IMP_B,Bay3,ENTRY,ENTRY,0.0,0.0,310.5,452.25,141.75,310.5,0.0
224,L00224,24,ETCH,M55,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,310.5,481.5,171.0,310.5,0.0
230,L00230,30,ETCH,M60,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,310.5,844.5,534.0,310.5,0.0
192,L00192,32,IMP,M86,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,315.75,489.75,174.0,315.75,0.0
212,L00212,12,IMP,M69,IMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,324.0,705.75,381.75,324.0,0.0
180,L00180,20,CVD,M64,CVD_C,Bay7,ENTRY,ENTRY,0.0,0.0,328.5,493.5,165.0,328.5,0.0
221,L00221,21,IMP,M80,IMP_D,Bay8,ENTRY,ENTRY,0.0,0.0,329.25,798.0,468.75,329.25,0.0
186,L00186,26,CVD,M14,CVD_A,Bay2,ENTRY,ENTRY,0.0,0.0,330.0,604.5,274.5,330.0,0.0
236,L00236,36,ETCH,M93,ETCH_D,Bay10,ENTRY,ENTRY,0.0,0.0,338.25,528.0,189.75,338.25,0.0
227,L00227,27,IMP,M20,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,350.25,492.0,141.75,350.25,0.0
176,L00176,16,PHOTO,M74,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,355.5,462.0,106.5,355.5,0.0
165,L00165,5,METRO,M96,METRO_D,Bay10,ENTRY,ENTRY,0.0,0.0,356.25,594.75,238.5,356.25,0.0
238,L00238,38,ETCH,M49,ETCH_B,Bay5,ENTRY,ENTRY,0.0,0.0,357.0,469.5,112.5,357.0,0.0
188,L00188,28,CMP,M10,CMP_A,Bay1,ENTRY,ENTRY,0.0,0.0,360.0,793.5,433.5,360.0,0.0
244,L00244,4,ETCH,M57,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,360.75,1004.25,643.5,360.75,0.0
232,L00232,32,IMP,M17,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,361.5,535.5,174.0,361.5,0.0
174,L00174,14,METRO,M30,METRO_A,Bay3,ENTRY,ENTRY,0.0,0.0,363.0,607.5,244.5,363.0,0.0
246,L00246,6,ETCH,M58,ETCH_C,Bay6,ENTRY,ENTRY,0.0,0.0,364.5,504.0,139.5,364.5,0.0
194,L00194,34,IMP,M18,IMP_A,Bay2,ENTRY,ENTRY,0.0,0.0,381.75,518.25,136.5,381.75,0.0
199,L00199,39,IMP,M70,IMP_C,Bay7,ENTRY,ENTRY,0.0,0.0,381.75,590.25,208.5,381.75,0.0
207,L00207,7,IMP,M90,IMP_E,Bay9,ENTRY,ENTRY,0.0,0.0,381.75,569.25,187.5,381.75,0.0
179,L00179,19,METRO,M40,METRO_B,Bay4,ENTRY,ENTRY,0.0,0.0,384.0,565.5,181.5,384.0,0.0
183,L00183,23,PHOTO,M71,PHOTO_D,Bay8,ENTRY,ENTRY,0.0,0.0,387.0,1063.5,676.5,387.0,0.0
169,L00169,9,PHOTO,M23,PHOTO_A,Bay3,ENTRY,ENTRY,0.0,0.0,390.75,639.75,249.0,390.75,0.0
